plotcode,treatment,year,species_other,sowndiv,AGB.mix,biomass.y,AGB.mono
B1A18,D1,2017,Pru.vul,1,347.1,308.9,308.9
B1A18,D1,2018,Pru.vul,1,48.98,26.12,26.12
B1A18,D1,2019,Pru.vul,1,8.285,64.3,64.3
B1A18,D1,2020,Pru.vul,1,6.82,13.25,13.25
B1A18,D1,2021,Pru.vul,1,0.2,37.15,37.15
B1A19,D1,2017,Arr.ela,4,907.05,706.4,176.6
B1A19,D1,2017,Pru.vul,4,12.195,308.9,77.225
B1A19,D1,2018,Arr.ela,4,228.49,293.24,73.31
B1A19,D1,2018,Pru.vul,4,29.515,26.12,6.53
B1A19,D1,2019,Arr.ela,4,82.155,333.5,83.375
B1A19,D1,2019,Pru.vul,4,55.565,64.3,16.075
B1A19,D1,2020,Arr.ela,4,178.65,214.76,53.69
B1A19,D1,2020,Pru.vul,4,6.52,13.25,3.3125
B1A19,D1,2021,Arr.ela,4,253.7,396.2,99.05
B1A19,D1,2021,Pru.vul,4,2.09,37.15,9.2875
B1A20,D1,2017,Ach.mil,16,0,509.8,31.8625
B1A20,D1,2017,Aju.rep,16,1.77,12.87,0.804375
B1A20,D1,2017,Bel.per,16,0,0,0
B1A20,D1,2017,Ger.pra,16,5.445,289.3,18.08125
B1A20,D1,2017,Kna.arv,16,87.36,2483.1,155.19375
B1A20,D1,2017,Leo.aut,16,3.525,405.7,25.35625
B1A20,D1,2017,Leo.his,16,10.125,408.1,25.50625
B1A20,D1,2017,Lot.cor,16,24.125,846.4,52.9
B1A20,D1,2017,Med.var,16,3.38,1289.1,80.56875
B1A20,D1,2017,Pla.lan,16,199.26,388.4,24.275
B1A20,D1,2017,Ran.acr,16,0.11,206,12.875
B1A20,D1,2017,San.off,16,0,16.13,1.008125
B1A20,D1,2017,Tri.hyb,16,277.6666667,1047.3,65.45625
B1A20,D1,2017,Tri.rep,16,40.855,393,24.5625
B1A20,D1,2017,Ver.cha,16,1.27,156.8,9.8
B1A20,D1,2018,Ach.mil,16,0,353.22,22.07625
B1A20,D1,2018,Aju.rep,16,0,0,0
B1A20,D1,2018,Bel.per,16,0,0,0
B1A20,D1,2018,Ger.pra,16,17.175,550.6,34.4125
B1A20,D1,2018,Kna.arv,16,167.765,817.17,51.073125
B1A20,D1,2018,Leo.aut,16,0,157.05,9.815625
B1A20,D1,2018,Leo.his,16,5.74,207.31,12.956875
B1A20,D1,2018,Lot.cor,16,48.275,459.2,28.7
B1A20,D1,2018,Med.var,16,240.05,1731.5,108.21875
B1A20,D1,2018,Pla.lan,16,0,87.11,5.444375
B1A20,D1,2018,Ran.acr,16,0,88.81,5.550625
B1A20,D1,2018,San.off,16,0,82.02,5.12625
B1A20,D1,2018,Tri.hyb,16,3.89,0.19,0.011875
B1A20,D1,2018,Tri.rep,16,31.79,54.04,3.3775
B1A20,D1,2018,Ver.cha,16,0,108.26,6.76625
B1A20,D1,2019,Ach.mil,16,0,286.9,17.93125
B1A20,D1,2019,Aju.rep,16,0,0.86,0.05375
B1A20,D1,2019,Bel.per,16,0,0,0
B1A20,D1,2019,Ger.pra,16,7.02,207.7,12.98125
B1A20,D1,2019,Kna.arv,16,226.135,581.5,36.34375
B1A20,D1,2019,Leo.aut,16,0,120.4,7.525
B1A20,D1,2019,Leo.his,16,9.165,198.7,12.41875
B1A20,D1,2019,Lot.cor,16,7.705,244.5,15.28125
B1A20,D1,2019,Med.var,16,331.58,1011.9,63.24375
B1A20,D1,2019,Pla.lan,16,2.435,80.5,5.03125
B1A20,D1,2019,Ran.acr,16,0,58.1,3.63125
B1A20,D1,2019,San.off,16,0,232.2,14.5125
B1A20,D1,2019,Tri.hyb,16,0,114.34,7.14625
B1A20,D1,2019,Tri.rep,16,0.63,14.91,0.931875
B1A20,D1,2019,Ver.cha,16,0.41,109.91,6.869375
B1A20,D1,2020,Ach.mil,16,0,144.33,9.020625
B1A20,D1,2020,Aju.rep,16,0,6.79,0.424375
B1A20,D1,2020,Bel.per,16,0.155,0,0
B1A20,D1,2020,Ger.pra,16,0.185,158.15,9.884375
